sample_name,short_name,data_type,merged,replicate,raw_fastq,preprocessed_fastq,bam,granges,bigwig_positive,bigwig_negative
kc167_triptolide_10min_polii_chipnexus_spikein_2,tri_10min_polii_spikein,chip_nexus,FALSE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_10min_polii_chipnexus_spikein_2.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_10min_polii_chipnexus_spikein_2_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_10min_polii_chipnexus_spikein_2.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_10min_polii_chipnexus_spikein_2.granges.rds,/data/bigwig/kc167_triptolide_10min_polii_chipnexus_spikein_normalized_2_positive.bw,/data/bigwig/kc167_triptolide_10min_polii_chipnexus_spikein_normalized_2_negative.bw
kc167_triptolide_20min_polii_chipnexus_spikein_1,tri_20min_polii_spikein,chip_nexus,FALSE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_20min_polii_chipnexus_spikein_1.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_20min_polii_chipnexus_spikein_1_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_20min_polii_chipnexus_spikein_1.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_20min_polii_chipnexus_spikein_1.granges.rds,/data/bigwig/kc167_triptolide_20min_polii_chipnexus_spikein_normalized_1_positive.bw,/data/bigwig/kc167_triptolide_20min_polii_chipnexus_spikein_normalized_1_negative.bw
kc167_triptolide_20min_polii_chipnexus_spikein_2,tri_20min_polii_spikein,chip_nexus,FALSE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_20min_polii_chipnexus_spikein_2.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_20min_polii_chipnexus_spikein_2_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_20min_polii_chipnexus_spikein_2.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_20min_polii_chipnexus_spikein_2.granges.rds,/data/bigwig/kc167_triptolide_20min_polii_chipnexus_spikein_normalized_2_positive.bw,/data/bigwig/kc167_triptolide_20min_polii_chipnexus_spikein_normalized_2_negative.bw
kc167_triptolide_30min_polii_chipnexus_spikein_1,tri_30min_polii_spikein,chip_nexus,FALSE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_30min_polii_chipnexus_spikein_1.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_30min_polii_chipnexus_spikein_1_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_30min_polii_chipnexus_spikein_1.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_30min_polii_chipnexus_spikein_1.granges.rds,/data/bigwig/kc167_triptolide_30min_polii_chipnexus_spikein_normalized_1_positive.bw,/data/bigwig/kc167_triptolide_30min_polii_chipnexus_spikein_normalized_1_negative.bw
kc167_triptolide_30min_polii_chipnexus_spikein_2,tri_30min_polii_spikein,chip_nexus,FALSE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_30min_polii_chipnexus_spikein_2.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_30min_polii_chipnexus_spikein_2_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_30min_polii_chipnexus_spikein_2.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_30min_polii_chipnexus_spikein_2.granges.rds,/data/bigwig/kc167_triptolide_30min_polii_chipnexus_spikein_normalized_2_positive.bw,/data/bigwig/kc167_triptolide_30min_polii_chipnexus_spikein_normalized_2_negative.bw
kc167_triptolide_5min_polii_chipnexus_spikein_1,tri_5min_polii_spikein,chip_nexus,FALSE,rep1,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_5min_polii_chipnexus_spikein_1.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_5min_polii_chipnexus_spikein_1_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_5min_polii_chipnexus_spikein_1.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_5min_polii_chipnexus_spikein_1.granges.rds,/data/bigwig/kc167_triptolide_5min_polii_chipnexus_spikein_normalized_1_positive.bw,/data/bigwig/kc167_triptolide_5min_polii_chipnexus_spikein_normalized_1_negative.bw
kc167_triptolide_5min_polii_chipnexus_spikein_2,tri_5min_polii_spikein,chip_nexus,FALSE,rep2,/data/raw_fastq/chipnexus_single_barcode/kc167_triptolide_5min_polii_chipnexus_spikein_2.fastq.gz,/data/preprocessed_fastq/spikein_chipnexus/kc167_triptolide_5min_polii_chipnexus_spikein_2_processed.fastq.gz,/data/bam/spikein_chipnexus/kc167_triptolide_5min_polii_chipnexus_spikein_2.bam,/data/rdata/granges/spikein_chipnexus/kc167_triptolide_5min_polii_chipnexus_spikein_2.granges.rds,/data/bigwig/kc167_triptolide_5min_polii_chipnexus_spikein_normalized_2_positive.bw,/data/bigwig/kc167_triptolide_5min_polii_chipnexus_spikein_normalized_2_negative.bw
kc167_polii_chipnexus,polii_chipnexus,chip_nexus,FALSE,,/data/raw_fastq/chipnexus_single_barcode/kc167_polii_chipnexus.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_polii_chipnexus_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_polii_chipnexus.bam,/data/rdata/granges/regular_chipnexus/kc167_polii_chipnexus.granges.rds,/data/bigwig/kc167_polii_chipnexus_normalized_positive.bw,/data/bigwig/kc167_polii_chipnexus_normalized_negative.bw
kc167_tfiia_chipnexus,tfiia_chipnexus,chip_nexus,FALSE,,/data/raw_fastq/chipnexus_single_barcode/kc167_tfiia_chipnexus.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_tfiia_chipnexus_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_tfiia_chipnexus.bam,/data/rdata/granges/regular_chipnexus/kc167_tfiia_chipnexus.granges.rds,/data/bigwig/kc167_tfiia_chipnexus_normalized_positive.bw,/data/bigwig/kc167_tfiia_chipnexus_normalized_negative.bw
kc167_tfiib_chipnexus,tfiib_chipnexus,chip_nexus,FALSE,,/data/raw_fastq/chipnexus_single_barcode/kc167_tfiib_chipnexus.fastq.gz,/data/preprocessed_fastq/regular_chipnexus/kc167_tfiib_chipnexus_processed.fastq.gz,/data/bam/regular_chipnexus/kc167_tfiib_chipnexus.bam,/data/rdata/granges/regular_chipnexus/kc167_tfiib_chipnexus.granges.rds,/data/bigwig/kc167_tfiib_chipnexus_normalized_positive.bw,/data/bigwig/kc167_tfiib_chipnexus_normalized_negative.bw
kc167_polii_chipseq,polii_chipseq,chip_seq,FALSE,,/data/raw_fastq/chipseq/kc167_polii_chipseq.fastq.gz,,/data/bam/chipseq/kc167_polii_chipseq.bam,/data/rdata/granges/chipseq/kc167_polii_chipseq.ranges.RData,/data/bigwig/kc167_polii_chipseq_normalized.bw,
kc167_tfiia_chipseq,tfiia_chipseq,chip_seq,FALSE,,/data/raw_fastq/chipseq/kc167_tfiia_chipseq.fastq.gz,,/data/bam/chipseq/kc167_tfiia_chipseq.bam,/data/rdata/granges/chipseq/kc167_tfiia_chipseq.ranges.RData,/data/bigwig/kc167_tfiia_chipseq_normalized.bw,
kc167_tfiib_chipseq,tfiib_chipseq,chip_seq,FALSE,,/data/raw_fastq/chipseq/kc167_tfiib_chipseq.fastq.gz,,/data/bam/chipseq/kc167_tfiib_chipseq.bam,/data/rdata/granges/chipseq/kc167_tfiib_chipseq.ranges.RData,/data/bigwig/kc167_tfiib_chipseq_normalized.bw,
